web-scraper-order,web-scraper-start-url,single,single-href,title_raw,price_raw,descr_raw,brand_raw,dimensions_raw,colour_raw,dissize_raw,bestsellerranking_raw,ranking_raw,instock_raw,price,dimension,displaysize
1669994182-1,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"Lenovo IdeaPad 3 Slim Laptop | 15,6"" Full HD WideView Display entspiegelt | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Grafik | Windows 11 Home | grau",https://www.amazon.de/Lenovo-1920x1080-WideView-entspiegelt-Notebook/dp/B09RPLX3Z6/ref=sr_1_126?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-126,"Lenovo IdeaPad 3 Slim Laptop | 15,6"" Full HD WideView Display entspiegelt | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Grafik | Windows 11 Home | grau","659,78€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    AMD Ryzen 5 5500U Mobil-Prozessor (bis zu 4,0 GHz) mit Radeon-Grafikeinheit     Augenschonendes Eye Care Display, PrivacyShutter mechanischer Kameraverschluss     Sicheres Anmelden per Gesichtserkennung     Stereo-Lautsprecher mit Dolby Audio Klangoptimierung, Windows 11 Home     Akku: Li-Polymer: 45 Wh, Laufzeit bis zu 9 Stunden (MobileMark 2018), RapidCharge Schnell-Lade-Funktion     
                 › Weitere Produktdetails",‎Lenovo,‎32.42 x 21.57 x 1.99 cm; 1.41 Kilogramm,‎Grau,‎15.6 Zoll,"Nr. 30,482 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 218 in Normale Laptop-Computer","5,0 von 5 Sternen     

                       2 Sternebewertungen   
                 

           
      
 5,0 von 5 Sternen",Auf Lager.,659,‎32.42 x 21.57 x 1.99,‎15.6
1669994186-2,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"Microsoft Surface Laptop 5, 13,5 Zoll Laptop (Intel Core I5, 8GB RAM, 256GB SSD, Win 11 Home) Platin",https://www.amazon.de/Microsoft-Surface-Laptop-Intel-Platin/dp/B0BC9HWF19/ref=sr_1_125?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-125,"Microsoft Surface Laptop 5, 13,5 Zoll Laptop (Intel Core I5, 8GB RAM, 256GB SSD, Win 11 Home) Platin","1.048,94€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Schlank und ultraleicht mit einer außergewöhnlich komfortablen Tastatur.     13,5-Zoll-PixelSense-Touchscreen für ultramobile Produktivität.     Intel Core der 12. Generation mit Thunderbolt 4-Konnektivität und Akkulaufzeit für den ganzen Tag.     Studiomikrofone und erweiterte Kamerafunktionen, unterstützt durch Windows 11.     Kinoreife Unterhaltung mit Dolby Vision und Dolby Atmos.     Welche komponenten sind im lieferumfang des produkts enthaltenen: Device, PSU, QSG, Safety and Warranty documents     Modal Jahr: 2022     
                 › Weitere Produktdetails",‎Microsoft,‎30.8 x 22.3 x 1.45 cm; 1.27 Kilogramm,‎Platin,‎13.5 Zoll,"Nr. 62,716 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 397 in Normale Laptop-Computer","4,6 von 5 Sternen     

                       6 Sternebewertungen   
                 

           
      
 4,6 von 5 Sternen",Auf Lager.,1,‎30.8 x 22.3 x 1.45,‎13.5
1669994190-3,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"Lenovo IdeaPad Flex 5i Laptop 40,6 cm (16 Zoll, 2560x1536, WQXGA, WideView, Touch) Convertible Notebook (Intel Core i7-1255U, 16GB RAM, 1TB SSD, Intel Iris Xe Grafik, Windows 11 Home) grau",https://www.amazon.de/Lenovo-2560x1536-WideView-Convertible-Notebook/dp/B09YV6QTGH/ref=sr_1_124?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-124,"Lenovo IdeaPad Flex 5i Laptop 40,6 cm (16 Zoll, 2560x1536, WQXGA, WideView, Touch) Convertible Notebook (Intel Core i7-1255U, 16GB RAM, 1TB SSD, Intel Iris Xe Grafik, Windows 11 Home) grau","1.039,90€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Intel Core i7-1255U Prozessor (bis zu 4,7 GHz mit Intel Turbo-Boost-Technik 2.0, 12 MB Intel Cache)     Convertible mit vier flexiblen Anwendungsmodes     Schnelles Wi-Fi 6, Fingerabdrucksensor, Stereolautsprecher mit Dolby Audio Klangoptimierung     PrivacyShutter mechanischer Kameraverschluss     Akku: Li-Ionen-Akku: 52,5 Wh, Laufzeit bis zu 11 Stunden (MobileMark 2018)     Herstellergarantie: 24 Monate. Die Garantiebedingungen finden Sie unter „Weitere technische Informationen“. Ihre gesetzlichen Gewährleistungsrechte bleiben unberührt     Lieferumfang: Lenovo IdeaPad Flex 5 16IAU7, Cloud Grey, Netzteil, Dokumentation     
                        Welche komponenten sind im lieferumfang des produkts enthaltenen: Lenovo Idea Pad Flex 5  Konnektivitäts technologie: WLAN  Model Jahr: 2022    Mehr anzeigen",‎Lenovo,‎25.39 x 35.78 x 1.87 cm; 2.1 Kilogramm,‎Grau,‎16 Zoll,"Nr. 12,759 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 115 in Normale Laptop-Computer","4,7 von 5 Sternen     

                       4 Sternebewertungen   
                 

           
      
 4,7 von 5 Sternen",Nur noch 19 auf Lager,1,‎25.39 x 35.78 x 1.87,‎16
1669994194-4,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"BIGMAC Computer Laptop Mini 10,1 Zoll 32 GB Windows 10 ultradünnes und leichtes Netbook Intel Quad Core PC HDMI USB Webcam Netflix YouTube QWERTZ Layout (Schwarz)",https://www.amazon.de/Computer-Windows-ultrad%C3%BCnnes-leichtes-Netbook/dp/B097RPD3QF/ref=sr_1_123?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-123,"BIGMAC Computer Laptop Mini 10,1 Zoll 32 GB Windows 10 ultradünnes und leichtes Netbook Intel Quad Core PC HDMI USB Webcam Netflix YouTube QWERTZ Layout (Schwarz)","187,06€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Wir sind professionelle Verkäufer von Computer-Laptops. Seit 2009 verbessern wir Tag für Tag unsere Qualität und unseren Service     Intel Quad Core Z8350-CPU, 2 GB RAM, 32 GB Speicher, Unterstützung für TF-Karten mit bis zu 256 GB, ausreichend Speicherplatz und hohe Geschwindigkeit erleichtern das Leben     Unterstützt einen Mini-HDMI-Ausgang und bietet Ihnen die Möglichkeit, Ihren Mini-Laptop an Ihren Großbildfernseher anzuschließen, Kundenspezifischer 6000-mAh-Akku mit großer Kapazität, der 4-5 Stunden lang ununterbrochen Videos ansehen kann     Das 10,1-Zoll-FHD-Display bietet eine hervorragende Erfahrung zum Ansehen von Videos, Youtube, Facebook, Twitter, Netflix, Surfen im Internet ...     Eine optische Maus, ein Ladegerät und eine Schlüsselbundleuchte im Lieferumfang enthalten. Alle nur 1,2 kg, passen in Ihre Tasche und sind leicht zu tragen     
                 › Weitere Produktdetails",‎Bigmachine,‎28.5 x 19.5 x 1.95 cm; 1.2 Kilogramm,‎Schwarz,‎10.1 Zoll,"Nr. 56,381 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 832 in Laptops","3,5 von 5 Sternen     

                       57 Sternebewertungen   
                 

           
      
 3,5 von 5 Sternen",Auf Lager.,187,‎28.5 x 19.5 x 1.95,‎10.1
1669994198-5,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"Asus TUF A15 Gaming Laptop | 15,6"" Full-HD 144Hz matt IPS Display | AMD Ryzen 7-R7-6800H | 16 GB RAM | 512 GB SSD | NVIDIA RTX 3050 | Windows 11 | QWERTZ Tastatur | Mecha Grey",https://www.amazon.de/ASUS-Gaming-Notebook-R7-6800H-NVIDIA-RTX-3050/dp/B09QLSRC45/ref=sr_1_122?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-122,"Asus TUF A15 Gaming Laptop | 15,6"" Full-HD 144Hz matt IPS Display | AMD Ryzen 7-R7-6800H | 16 GB RAM | 512 GB SSD | NVIDIA RTX 3050 | Windows 11 | QWERTZ Tastatur | Mecha Grey","965,52€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Beispiellose Leistung mit ultra-effizienten Multicore-Prozessoren, basierend auf der weltweit fortschrittlichsten 7nm-Prozessorkerntechnologie. Die ultimative Performance für Notebooks mit kompromissloser Akkulaufzeit. Mit den meisten Kernen, die mit Ultrathin-Notebooks erhältlich sind, liefert AMD Ryzen Prozessoren ultimative Reaktionsschnelligkeit und Performance zum Arbeiten und Spielen – überall und schneller als je zuvor     Bis zu 20 Grad kühler! Die einmalige Liquidmetal-Wärmeleitpaste garantiert dauerhaft hohe Taktraten ohne laute Lüfter! Von ASUS entwickelte Maschinen zum Auftragen des Liquidmetal garantieren den Leistungs- und Temperaturvorsprung     Im kompetitiven Gaming auf Profiniveau zählt jede Millisekunde. Die ultraschnelle Wiederholrate (144Hz) macht Reaktionszeiten auf Profiniveau erst möglich     Vermute nicht! Wisse! Jede Taste sofort treffen, selbst abends in der größten Hektik des Gefechts. Die einzeln beleuchteten Tasten machen es möglich     Bis zu 8 Stunden Akkulaufzeit (3 Zellen 56Wh)     
                 › Weitere Produktdetails",‎ASUS,‎35.4 x 25.1 x 2.24 cm; 2.2 Kilogramm,‎Grau,‎15.6 Zoll,"Nr. 26,123 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 347 in Laptops","2,6 von 5 Sternen     

                       7 Sternebewertungen   
                 

           
      
 2,6 von 5 Sternen",Auf Lager.,965,‎35.4 x 25.1 x 2.24,‎15.6
1669994201-6,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"HP 15 - Silber - 15,6"" FHD - Core i3 1125G4 - 32GB RAM - 500GB SSD - Windows 11 Pro #mit Funkmaus +Notebooktasche",https://www.amazon.de/HP-15-Windows-Funkmaus-Notebooktasche/dp/B08WHQGZVL/ref=sr_1_121?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-121,"HP 15 - Silber - 15,6"" FHD - Core i3 1125G4 - 32GB RAM - 500GB SSD - Windows 11 Pro #mit Funkmaus +Notebooktasche","599,00€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Prozessor: Core i3-1125G4 Quad Core - 4x 2,0GHz - Turbo Boost bis zu 4x 3,7GHz - 8 Threads - 8MB Cache - Iris Xe G4 Graphics     Ausstattung: mattes Full-HD IPS Display mit LED-Backlight - Webcam (0,9 MP) - 1x HDMI - 1x USB 3.0 Typ-C - 2x USB 3.0 Typ-A - Card Reader - 1x RJ45 (LAN) - WLAN 5 (802.11ac) - Bluetooth (4.2) - 1x Kopfhörer/Mikrofon-Kombi-Anschluss - QWERTZ-Tastatur - Ziffernblock     Akku: bis zu 7 Stunden Laufzeit - 3 Zellen - 41 Wattstunden     Lieferumfang: HP 15 - 15,6 Zoll Notebook in Natural Silver - Akku - Netzteil - Netzkabel - Funkmaus - Notebooktasche     Herstellergarantie: 24 Monate, Austausch bzw. Reparatur innerhalb von 5 Werktagen oder entsprechend Geld zurück.     
                 › Weitere Produktdetails",‎HP,‎36 x 23.4 x 1.8 cm; 1.75 Kilogramm,‎Natural Silver,‎15.6 Zoll,"Nr. 129,089 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 2,341 in Laptops","5,0 von 5 Sternen     

                       3 Sternebewertungen   
                 

           
      
 5,0 von 5 Sternen",Nur noch 10 auf Lager,599,‎36 x 23.4 x 1.8,‎15.6
1669994205-7,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"MSI GF75 Thin 10UEK-054 i7-10750H 16GB 512GB SSD 17"" FHD RTX 3060 DOS",https://www.amazon.de/MSI-GF75-10UEK-054-i7-10750H-512GB/dp/B08SY8ZR9C/ref=sr_1_120?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-120,"MSI GF75 Thin 10UEK-054 i7-10750H 16GB 512GB SSD 17"" FHD RTX 3060 DOS",,"Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Verpackungsabmessungen (L x B x H): 260.0 x 397.0 x 23.1 mm     Verpackungsgewicht: 2.3 Kg     Herkunftsland:- China     
                 › Weitere Produktdetails",‎MSI,‎26 x 39.7 x 2.31 cm; 2.3 Kilogramm,‎Schwarz,‎17.3 Zoll,"Nr. 245,116 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 5,464 in Laptops","4,6 von 5 Sternen     

                       8 Sternebewertungen   
                 

           
      
 4,6 von 5 Sternen",Nur noch 1 auf Lager,,‎26 x 39.7 x 2.31,‎17.3
1669994209-8,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"Lenovo Yoga Slim 7 Pro Laptop | 14"" 2.8K OLED Display | Intel Core i5-11300H | Intel Evo | 16GB RAM | 512GB SSD | Intel Iris Xe | QWERTZ | Windows 11 Home | silber | 3 Monate Premium Care",https://www.amazon.de/Lenovo-Wideview-Display-i5-11300H-zertifiziert/dp/B09QLKWJCR/ref=sr_1_118?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-118,"Lenovo Yoga Slim 7 Pro Laptop | 14"" 2.8K OLED Display | Intel Core i5-11300H | Intel Evo | 16GB RAM | 512GB SSD | Intel Iris Xe | QWERTZ | Windows 11 Home | silber | 3 Monate Premium Care","994,64€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Intel Evo Plattform mit Intel Core i5-11300H Prozessor (bis zu 4,40 GHz mit Intel Turbo-Boost-Technik 2.0, 8 MB Intel Cache)     35,6 cm/14 Zoll 2.8 K (2880x1800) 16:10 OLED-Display mit 100 % DCI-P3 Farbraumabdeckung, 90 Hz, HDR 500 TureBlack und Dolby Vision     Schnelles und sicheres Anmelden per Gesichtserkennung, harman Lautsprechersystem mit Dolby Atmos     Akku: Li-Polymer, 61 Wh, bis zu 14,4 Stunden Laufzeit (Videoweidergabe), RapidCharge Express Schnell-Ladefunktion (ca. 3 Stunden mit 15 Min laden)     Herstellergarantie: 24 Monate inkl. 3 Monate Premium Care VIP Support. Die Garantiebedingungen finden Sie unter „Weitere technische Informationen“. Ihre gesetzlichen Gewährleistungsrechte bleiben unberührt     Lieferumfang: Lenovo Yoga Slim 7i Pro 14IHU5O, Schiefergrau, Netzteil, Dokumentation     
                 › Weitere Produktdetails",‎Lenovo,‎31.24 x 22.14 x 1.79 cm; 1.38 Kilogramm,‎Grau,‎14 Zoll,"Nr. 8,994 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 84 in Normale Laptop-Computer","4,2 von 5 Sternen     

                       53 Sternebewertungen   
                 

           
      
 4,2 von 5 Sternen",Auf Lager.,994,‎31.24 x 22.14 x 1.79,‎14
1669994213-9,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"2022 LG UltraPC 14 Zoll Ultralight Notebook - 1,290g AMD Ryzen 7 (16GB RAM, 1TB SSD, 16:10 Entspiegeltes IPS-Display, Bluetooth 5.1, Win 11 Home, Mirametrix) - Grau",https://www.amazon.de/2022-LG-UltraPC-Ultralight-Notebook/dp/B0B8QJQQGW/ref=sr_1_117?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-117,"2022 LG UltraPC 14 Zoll Ultralight Notebook - 1,290g AMD Ryzen 7 (16GB RAM, 1TB SSD, 16:10 Entspiegeltes IPS-Display, Bluetooth 5.1, Win 11 Home, Mirametrix) - Grau","1.157,55€","Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    2022 LG UltraPC 14 Zoll Ultralight Notebook - 1,290g AMD Ryzen 5 (16GB RAM, 1TB SSD, 16:10 Entspiegeltes IPS-Display, Bluetooth 5.1, Win 11 Home, Mirametrix) - Grau     Up to date: Mit dem LG Ultra PC und dem aktuellsten Betriebssystem Windows 11 sind Sie auf dem neuesten Stand der Technologie - mehr Leistung ohne Einschränkungen     Multitalent: Arbeiten, Surfen, Streamen, Musik hören - Dank leistungsstarkem AMD Ryzen 5Prozessors mit AMD Radeon Vega Grafik stehen anspruchsvollen Anwendungen und den besten Multimedia-Unterhaltung nichts mehr im Weg     Leistungsstarkes Multitalent: Der 16 GB LPDDR5 Arbeitsspeicher und die 1 TB SSD Festplatte ermöglichen flüssiges Arbeiten ohne Abstriche     Mehr Unterhaltung: HD-Webcam sowie ein Dual-Mikrofon integriert, und das Integrierte Sound-System mit Unterstützung für DTS:X Ultra     
                 › Weitere Produktdetails",‎LG Electronics,‎31.39 x 22.04 x 1.63 cm; 1.29 Kilogramm,‎Grau,‎14 Zoll,"Nr. 94,433 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 592 in Normale Laptop-Computer",,Nur noch 3 auf Lager,1,‎31.39 x 22.04 x 1.63,‎14
1669994216-10,https://www.amazon.de/s?k=laptop&i=computers&page=5&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&qid=1669993111&sprefix=laptop%2Ccomputers%2C99&ref=sr_pg_2,"Lenovo V17 - 17,3"" FHD - Core i3 1115G4 - 16GB RAM - 250GB SSD - Windows 11 Pro - Office 2019 Pro #mit Funkmaus +Notebooktasche",https://www.amazon.de/Lenovo-V17-Windows-Funkmaus-Notebooktasche/dp/B08V5H2P38/ref=sr_1_116?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=F33G7POLCLKL&keywords=laptop&qid=1669994176&s=computers&sprefix=laptop%2Ccomputers%2C99&sr=1-116,"Lenovo V17 - 17,3"" FHD - Core i3 1115G4 - 16GB RAM - 250GB SSD - Windows 11 Pro - Office 2019 Pro #mit Funkmaus +Notebooktasche",,"Info zu diesem Artikel             
     Dieser Artikel passt für Ihre .
     

    Geben Sie Ihr Modell ein, um sicherzustellen, dass dieser Artikel passt. 
 
    Prozessor: Core i3-1115G4 Dual Core - 2x 3,0GHz - Turbo Boost bis 2x 4,1Ghz - 6MB Cache - 4 Threads - ‎Intel UHD Graphics Xe G4     Ausstattung: mattes Full-HD IPS Display mit LED-Backlight - Webcam (0,9MP inkl. Abdeckung) - 1x HDMI - 1x USB 2.0 - 2x USB 3.1 Typ-A - 1x USB 3.2 Typ-C - Card Reader - WLAN 6 (802.11ax) - Bluetooth (5.1) - 1x Kopfhörer/Mikrofon-Kombi-Anschluss - QWERTZ-Tastatur - Nummernblock     Akku: bis zu 7 Stunden Laufzeit - 3 Zellen - 45 Wattstunden     Lieferumfang: Lenovo V17 - 17,3 Zoll Notebook in Iron Grey - Akku - Netzteil - Netzkabel - Funkmaus - Notebooktasche - Vollversion Office 2019 Professional     Herstellergarantie: 24 Monate, Austausch bzw. Reparatur innerhalb von 5 Werktagen oder entsprechend Geld zurück.     
                 › Weitere Produktdetails",‎Lenovo,‎40.2 x 28.1 x 2 cm; 2.2 Kilogramm,‎Iron Grey,‎17.3 Zoll,"Nr. 117,057 in Computer & Zubehör (Siehe Top 100 in Computer & Zubehör) 
  Nr. 2,064 in Laptops",,,,‎40.2 x 28.1 x 2,‎17.3
