web-scraper-order,web-scraper-start-url,single,single-href,title,price,info,rating,instock,asin,bestseller,dimension,img1-src
1669910832-1,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Fridolin 68066 Adressbuch Hokusai - Große Welle,https://www.amazon.de/Fridolin-68066-Adressbuch-Hokusai-Gro%C3%9Fe/dp/B00ALD6A2S/ref=sr_1_258?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-258,Fridolin 68066 Adressbuch Hokusai - Große Welle,"8,66€",Motiv: Katsushika Hokusai - Große Welle,3.5 von 5,,B00ALD6A2S,,‎15 x 12.5 x 2 cm; 99.79 Gramm,
1669910834-2,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Winsor & Newton Universität Pinsel Kit (4 Stück),https://www.amazon.de/Winsor-Newton-Universit%C3%A4t-Pinsel-St%C3%BCck/dp/B071F4WRZS/ref=sr_1_257?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-257,Winsor & Newton Universität Pinsel Kit (4 Stück),"15,72€",Info zu diesem Artikel,4.7 von 5,,B071F4WRZS,,‎28 x 6 x 1.2 cm; 40 Gramm,
1669910837-3,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"10 Stück Kreidetafel-Schild, 33 x 40,6 cm, groß, doppelseitig, Kreidetafel, Foto-Requisite, Schulabschluss, Zurück zur Schule, Zubehör für Kindergarten oder Schulabschluss",https://www.amazon.de/Kreidetafel-Schild-doppelseitig-Foto-Requisite-Schulabschluss-Kindergarten/dp/B0B19X5C5F/ref=sr_1_256?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-256,"10 Stück Kreidetafel-Schild, 33 x 40,6 cm, groß, doppelseitig, Kreidetafel, Foto-Requisite, Schulabschluss, Zurück zur Schule, Zubehör für Kindergarten oder Schulabschluss",,"10 Stück Kreidetafel-Schilder: Die bunte Wimpelkette und Ballon-Thema ist ideal für den Schulanfang und ist auch eine ausgezeichnete Schuldekoration, die sich lohnt, an den ersten Tag der Vorschule, Kindergarten, 1. 12. Klasse und Universität zu denken.",3.9 von 5,,B0B19X5C5F,,,
1669910840-4,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Sharpie Fluo XL Textmarker | Keilspitze | gemischte fluoreszierende Farben | 4 Stück,https://www.amazon.de/Sharpie-Textmarker-Keilspitze-Verschiedene-farblich/dp/B00BWK90DK/ref=sr_1_255?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-255,Sharpie Fluo XL Textmarker | Keilspitze | gemischte fluoreszierende Farben | 4 Stück,"10,40€",Info zu diesem Artikel,4.6 von 5,Nur noch 14 auf Lager,B00BWK90DK,"Nr. 66,297 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 409 in Textmarker",‎15 x 19.4 x 2.2 cm; 90 Gramm,
1669910843-5,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Original bunte Lesezeichen | Schöne Haftnotizen in verschiedenen Größen | Posit Trennzeichen und Marker für Schulmaterial | Große und kleine Posits post it für Bücher Schreibwaren,https://www.amazon.de/Lesezeichen-verschiedenen-Trennzeichen-Schulmaterial-Schreibwaren/dp/B0B7TFN96Z/ref=sr_1_254?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-254,Original bunte Lesezeichen | Schöne Haftnotizen in verschiedenen Größen | Posit Trennzeichen und Marker für Schulmaterial | Große und kleine Posits post it für Bücher Schreibwaren,"16,00€",Info zu diesem Artikel,3.9 von 5,Auf Lager.,B0B7TFN96Z,,,
1669910845-6,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Home Advantage Blanko-Visitenkarten, Mini-Index-Wortkarten, 100 Stück",https://www.amazon.de/Home-Advantage-Blanko-Visitenkarten-Mini-Index-Wortkarten-St%C3%BCck/dp/B085X2YV58/ref=sr_1_253?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-253,"Home Advantage Blanko-Visitenkarten, Mini-Index-Wortkarten, 100 Stück",,Info zu diesem Artikel,4.6 von 5,,B085X2YV58,,,
1669910848-7,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Home Advantage 50 Stück Karteikarten 3x5 blanko weiß Postkarten,https://www.amazon.de/Home-Advantage-Karteikarten-blanko-wei%C3%9F/dp/B07GSDZJ3S/ref=sr_1_252?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-252,Home Advantage 50 Stück Karteikarten 3x5 blanko weiß Postkarten,,Info zu diesem Artikel,4.7 von 5,,B07GSDZJ3S,,,
1669910851-8,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,DNA-Modell für den naturwissenschaftlichen Schule Universität Lehrmaterialien Unterricht liefert PVC-Doppelhelix-DNA-Modell Biological Molecular[DNA Model ],https://www.amazon.de/DNA-Modell-naturwissenschaftlichen-Unterricht-PVC-Doppelhelix-DNA-Modell-Biological/dp/B08GSR7DTL/ref=sr_1_251?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-251,DNA-Modell für den naturwissenschaftlichen Schule Universität Lehrmaterialien Unterricht liefert PVC-Doppelhelix-DNA-Modell Biological Molecular[DNA Model ],,Info zu diesem Artikel,5.0 von 5,,B08GSR7DTL,,,
1669910854-9,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Speedball Unterglasur, Avocado, 473 ml",https://www.amazon.de/Speedball-Unterglasur-Avocado-473-ml/dp/B08JQNJL52/ref=sr_1_250?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-250,"Speedball Unterglasur, Avocado, 473 ml",,Konsistente Ergebnisse – Undurchsichtige Farben bewegen sich nicht und verlaufen nicht. Für beste Ergebnisse 2–3 großzügige Schichten auftragen,5.0 von 5,,B08JQNJL52,"Nr. 1,504,301 in Küche, Haushalt & Wohnen (Siehe Top 100 in Küche, Haushalt & Wohnen) 
  Nr. 514 in Keramikglasuren 
  Nr. 6,334 in Malfarben",,
1669910856-10,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Stencil Stop Schablonen-Set für griechische Buchstaben, zum Malen und Nachzeichnen, alle Buchstaben – 14 mm Mylar-Kunststoff [10,2 cm hohe Buchstaben]",https://www.amazon.de/Schablonen-Set-griechische-Buchstaben-Malen-Zeichnen/dp/B07RSWJYWB/ref=sr_1_249?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-249,"Stencil Stop Schablonen-Set für griechische Buchstaben, zum Malen und Nachzeichnen, alle Buchstaben – 14 mm Mylar-Kunststoff [10,2 cm hohe Buchstaben]",,"Endlose Projekt-Optionen: Schablonen sind ideal auf flachen und gebogenen Medien und funktionieren mit Tonnen von Oberflächen wie Beton, Holz, Haut, Kunststoff, Gras, Wänden, Metall, Leinwand, Glas, Stoff und mehr",4.7 von 5,,B07RSWJYWB,,,
